id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109001180,109/02/12,桃園市政府社會局,新春團拜淨山環保暨老人及交通安全宣導講座,109/02/16,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,郭麗華,桃園市議會,議員,桃園市蘆竹區婦女愛心發展協會,14301175,郭麗華,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109002104,109/03/11,桃園市政府社會局,親子聯誼暨家暴防治與節能減碳宣導活動,109/03/06,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,許清順,桃園大眾捷運股份有限公司,副總經理,桃園市蘆竹愛鄉協會,13314139,李淑惠,"關係人屬：非法人團體，係由 ： 公職人員之配偶或共同生活之家屬；李淑惠 擔任 相類似職務：理事長"
AA03109005401,109/08/10,桃園市政府社會局,109年酷酷暑兒童夏令營,109/07/27,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,張桂綿,桃園市議會,議員,桃園市蘆竹區中興社區發展協會,85270525,張月娥,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；姐妹；張月娥 擔任 相類似職務：理事長"
AA03109005950,109/09/07,桃園市政府社會局,109年中秋聯歡晚會暨節電宣導活動,109/08/27,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,張桂綿,桃園市議會,議員,桃園市蘆竹區中興社區發展協會,85270525,張月娥,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；姐妹；張月娥 擔任 相類似職務：理事長"
AA03109006051,109/09/09,桃園市政府社會局,中秋婦女聯歡暨婦幼福利及節能減碳宣導活動,109/09/04,公職人員之關係人,"80,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,張桂綿,桃園市議會,理事長,桃園市蘆竹區婦女會,10683566,張桂綿,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109006081,109/09/10,桃園市政府社會局,舞出青春活力暨老人福利政策宣導,109/09/07,公職人員之關係人,"100,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,郭麗華,桃園市議會,市議員,桃園市蘆竹區土風舞協會,26170795,郭麗華,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109006331,109/09/23,桃園市政府社會局,辦理109年婦幼福利宣導活動,109/09/17,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,郭麗華,桃園市議會,議員,桃園市蘆竹區婦女愛心發展協會,14301175,郭麗華,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109007151,109/10/19,桃園市政府社會局,109年中秋聯歡晚會暨節電宣導活動,109/09/26,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,張桂綿,桃園市議會,議員,桃園市蘆竹區中興社區發展協會,85270525,張月娥,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹妹；張月娥 擔任 相類似職務：理事長"
AA03109008061,109/11/17,桃園市政府社會局,109年度中興里文創暨二手市集,109/10/23,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,張桂綿,桃園市議會,議員,桃園市蘆竹區中興社區發展協會,85270525,張月娥,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；姐妹；張月娥 擔任 相類似職務：理事長"
AA03109008071,109/11/17,桃園市政府社會局,109年度中興社區發展協會會員觀摩研習活動,109/10/23,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,張桂綿,桃園市議會,議員,桃園市蘆竹區中興社區發展協會,85270525,張月娥,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；姐妹；張月娥 擔任 相類似職務：理事長"
AA03110007721,110/12/13,桃園市政府社會局,110年度中興里歡樂聖誕暨二手市集,110/11/25,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第35點規定,張桂綿,桃園市議會,議員,桃園市蘆竹區中興社區發展協會,85270525,張月娥,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹妹；張月娥 擔任 相類似職務：理事長"
AA03110007730,110/12/13,桃園市政府社會局,110年蘆竹區中興社區發展會會員觀摩研習活動,110/11/05,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第35點規定,張桂綿,桃園市議會,議員,桃園市蘆竹區中興社區發展協會,85270525,張月娥,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹妹；張月娥 擔任 相類似職務：理事長"
