id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109000730,109/02/05,桃園市政府社會局,108年度冬令救濟、寒冬送暖暨關懷宣導活動,108/12/31,公職人員之關係人,"180,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定（請填寫法令名稱及條次),游吾和,桃園市議會,議員,桃園市大園區感天行善協會,261472905,游吾和,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109001801,109/03/02,桃園市政府社會局,慶祝109年度元宵節遶境祈福燈謎聯歡晚會暨社會福利節能減碳宣導,109/02/05,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,徐其萬,桃園市議會,議員,桃園市大園區內海社區發展協會,17433327,許程睿,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：常務監事"
AA03109001920,109/03/04,桃園市大園區公所,慶祝109年度元宵節遶境祈福燈謎聯歡晚會暨社會福利節能減碳宣導,109/02/07,公職人員之關係人,"50,000",第3款：對公職人員之關係人禁止其補助反不利於公共利益且經補助法令主管機關核定同意之補助。,桃園國際機場回饋金補助申請計畫之審查原則,徐其萬,桃園市議會,議員,桃園市大園區內海社區發展協會,17433327,許程睿,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：常務監事"
AA03109004009,109/06/16,桃園市大園區公所,109年度績優社區觀摩研習活動」,109/08/15,公職人員之關係人,"50,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園國際機場回饋金補助申請計畫之審查原則,徐其萬,桃園市議會,議員,桃園市大園區內海社區發展協會,17433327,許程睿,"關係人屬：非法人團體，係由 ： 公職人員本人"
AA03109004431,109/07/07,桃園市大園區公所,109年度媽媽土風舞社團研習活動,109/07/20,公職人員之關係人,"30,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園國際機場回饋金補助申請計畫之審查原則,徐其萬,桃園市議會,市議員,桃園市大園區大海社區發展會,30144399,李文登,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹；徐麗美 擔任 相類似職務：理事"
AA03109004790,109/07/20,桃園市大園區公所,109年度大海社區成長教室(瑜珈氣功)研習活動,109/07/20,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,2,徐其萬,桃園市議會,議員,,,,公職人員之二親等以內親屬。稱謂：妹
AA03109005090,109/07/29,桃園市大園區公所,「109年度大海社區書法研習活動」,109/09/02,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,2,徐其萬,桃園市議會,議員,,,,公職人員之二親等以內親屬。稱謂：徐麗美
AA03109005351,109/08/10,桃園市政府社會局,109年度績優社區觀摩研習活動,109/07/02,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,徐其萬,桃園市議會,議員,桃園市大園區內海社區發展協會,17433327,許程睿,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：常務監事"
AA03109005560,109/08/17,桃園市大園區公所,桃園市大園區大海社區發展協會109年度中秋節聯歡晚會暨社會福利宣導活動,109/08/17,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,2,徐其萬,桃園市議會,議員,,,,公職人員之二親等以內親屬。稱謂：妹
AA03109005960,109/09/07,桃園市政府社會局,109度大海社區成長教室(瑜珈、氣功)研習活動,109/08/06,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,徐其萬,桃園市議會,議員,桃園市大園區大海社區發展協會,30144399,李文登,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹妹；徐麗美 擔任 相類似職務：常務理事"
AA03109005970,109/09/07,桃園市政府社會局,109年度大海社區書法研習活動,109/08/14,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,徐其萬,桃園市議會,議員,桃園市大園區大海社區發展協會,30144399,李文登,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹妹；徐麗美 擔任 相類似職務：常務理事"
AA03109005980,109/09/07,桃園市政府社會局,109年大海社區英語教室活動,109/01/30,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,徐其萬,桃園市議會,議員,桃園市大園區大海社區發展協會,30144399,李文登,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹妹；徐麗美"
AA03109006014,109/09/07,桃園市政府社會局,109年社區綠美化活動,109/06/17,公職人員之關係人,"46,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,徐其萬,桃園市議會,議員,桃園市大園區內海社區發展協會,17433327,許程睿,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：常務監事"
AA03109006032,109/09/07,桃園市政府社會局,桃園市大園區大海社區發展協會109年度中秋節聯歡晚會暨社會福利宣導活動,109/09/03,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,徐其萬,桃園市議會,議員,桃園市大園區大海社區發展協會,30144399,李文登,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；妹妹；徐麗美"
AA03109006521,109/10/08,桃園市大園區公所,內海社區發展協會辦理109年度志工增能「動動手～憶起來」(桃園機場回饋金),109/11/01,公職人員本人,"25,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園國際機場回饋金補助申請計畫之審查原則,徐其萬,桃園市議會,議員,,,,
