id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109002480,109/03/30,臺北市政府體育局,109年大同區桌委會主委盃桌球錦標賽,109/03/25,公職人員之關係人,"34,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109002490,109/03/30,臺北市政府體育局,109年臺北市江山圍棋推廣交流賽,109/03/25,公職人員之關係人,"5,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109002501,109/03/30,臺北市政府體育局,109年臺北市大同區區長盃槌球錦標賽,109/03/25,公職人員之關係人,"34,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109002511,109/03/30,臺北市政府體育局,109年臺北市下學期校園圍棋推廣交流賽,109/03/25,公職人員之關係人,"13,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109004460,109/07/08,臺北市政府體育局,109年台北市太子盃籃球聯賽(上半季),109/06/22,公職人員之關係人,"28,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109004470,109/07/08,臺北市政府體育局,109年大同區桌委會理事長盃桌球錦標賽,109/06/22,公職人員之關係人,"31,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109004480,109/07/08,臺北市政府體育局,109年第九屆「臺北市原住民族盃」慢速壘球錦標賽,109/06/22,公職人員之關係人,"50,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109004890,109/07/23,臺北市政府體育局,109年臺北市學生棒球聯賽規劃與執行勞務採購案,109/06/30,公職人員之關係人,"1,390,000",第1款：依政府採購法以公告程序或同法第一百零五條辦理之採購。,政府採購法第22條第1項第9款,陳炳甫,臺北市議會,議員,臺北市體育總會棒球協會,25675425,陳炳甫,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109006540,109/10/08,臺北市政府體育局,109年臺北市大同區第一次理事長盃慢速壘球錦標賽,109/09/22,公職人員之關係人,"31,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109006550,109/10/08,臺北市政府體育局,109年臺北市大同區第一次「慢速壘球裁判研習營」,109/09/22,公職人員之關係人,"18,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,葉林傳,臺北市議會,副議長,臺北市大同區體育會,15744818,葉林傳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
