id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03110002331,110/03/31,桃園市新屋區公所,績優社區觀摩研習暨社會福利與節能減碳宣導活動,110/03/11,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市新屋區公所辦理台灣電力股份有限公司促進電力發展營運協助金補助人民團體實施要點,陳睿生,桃園市議會,市議員,桃園市新屋區新屋社區發展協會,99783151,陳江順,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；父親；陳江順 擔任 相類似職務：理事長"
AA03110002611,110/04/08,桃園市政府社會局,110年歌唱研習班,110/03/12,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第35點規定,陳睿生,桃園市議會,議員,桃園市新屋區新屋社區發展協會,99783151,陳江順,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；父親；陳江順 擔任 相類似職務：理事長"
AA03110003570,110/05/03,桃園市新屋區公所,110年度樂活健走暨老人福利宣導,110/05/03,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市新屋區公所辦理台灣電力股份有限公司促進電力發展營運協助金補助人民團體實施要點,陳睿生,桃園市議會,市議員,,,,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；父親；陳江順 擔任 相類似職務：常務監事"
AA03110004511,110/05/25,桃園市政府社會局,績優社區觀摩研習暨社會福利與節能減碳宣導活動,110/04/09,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第35點規定,陳睿生,桃園市議會,議員,桃園市新屋區新屋社區發展協會,99783151,陳江順,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；父親；陳江順 擔任 相類似職務：理事長"
AA03110007980,110/12/24,桃園市新屋區公所,新屋社區客家文化研習暨巡禮活動,110/11/28,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市新屋區公所辦理台灣電力股份有限公司促進電力發展營運協助金補助人民團體實施要點,陳睿生,桃園市議會,議員,桃園市新屋區新屋社區發展協會,99813151,陳江順,"關係人屬：非營利法人，係由 ： 公職人員二親等以內親屬；父親；陳江順 擔任 相類似職務：理事長"
AA03111002721,111/03/22,桃園市新屋區公所,111年春季戶外觀摩研習暨老人福利暨節能減碳節約用電宣導活動,111/03/04,公職人員本人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市新屋區公所辦理台灣電力股份有限公司促進電力發展營運協助金補助人民團體實施要點,陳睿生,桃園市新屋區公所,陳睿生,,,,
AA03111002731,111/03/23,桃園市新屋區公所,111年度樂活健走暨老人福利宣導,111/03/15,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市新屋區公所辦理台灣電力股份有限公司促進電力發展營運協助金補助人民團體實施要點,陳睿生,桃園市議會,市議員,,,,公職人員之二親等以內親屬。稱謂：父子
AA03111002830,111/03/24,桃園市新屋區公所,績優社區觀摩研習暨社會福利與節能減碳宣導活動,111/03/21,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市新屋區公所辦理台灣電力股份有限公司促進電力發展營運協助金補助人民團體實施要點,陳睿生,桃園市議會,市議員,,,,公職人員之二親等以內親屬。稱謂：父親
AA03111004670,111/06/22,桃園市政府社會局,111年歌唱研習班活動,111/03/16,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點,陳睿生,桃園市政府社會局,市議員,桃園市新屋區新屋社區發展協會,99783151,陳江順,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；父親；陳江順 擔任 相類似職務：理事長"
AA03111004680,111/06/22,桃園市政府社會局,績優社區研習觀摩暨社會福利與節能減碳導活動,111/03/26,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點,陳睿生,桃園市政府社會局,市議員,桃園市新屋區新屋社區發展協會,99783151,陳江順,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；父親；陳江順 擔任 相類似職務：理事長"
