id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03110003341,110/04/26,臺北市政府體育局,2021第19屆星光盃全國運動舞蹈錦標賽,110/03/25,公職人員之關係人,"51,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,李明賢,臺北市議會,議員,臺北市體育運動舞蹈協會,94992334,李明賢,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005203,110/08/24,臺北市政府體育局,2021亞洲盃運動舞蹈臺北國際公開賽暨2021台灣之星全國代表選拔賽,110/08/16,公職人員之關係人,"185,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,李明賢,臺北市議會,議員,臺北市體育運動舞蹈協會,94992334,李明賢,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005970,110/10/08,臺北市政府體育局,2021臺北青少年運動舞蹈研習活動,110/10/08,公職人員之關係人,"13,750",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,李明賢,臺北市議會,議員,臺北市體育運動舞蹈協會,94992334,李明賢,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03111003870,111/04/28,臺北市政府體育局,2022第20屆星光盃全國運動舞蹈錦標賽,111/03/29,公職人員之關係人,"65,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,李明賢,臺北市政府體育局,議員,台北市體育運動舞蹈協會,94992334,李明賢,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03111004940,111/07/05,臺北市政府體育局,022亞洲盃運動舞蹈臺北國際公開賽暨2022台灣之星全國代表選拔賽,111/06/27,公職人員之關係人,"22,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,李明賢,臺北市議會,議員,台北市體育運動舞蹈協會,94992334,李明賢,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
