id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109000711,109/01/31,桃園市八德區公所,109年度年曆暨政令宣導掛軸補助案,108/12/31,公職人員之關係人,"100,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,議員,桃園市幸福運動協會,,呂林小鳳,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109001431,109/02/17,桃園市政府社會局,家庭暴力與性侵害等防治宣導,109/02/08,公職人員之關係人,"80,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,議員,桃園市八德區廣興土風舞協會,41049180,呂林小鳳,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109002090,109/03/11,桃園市政府社會局,家庭暴力與性侵害等防治宣導,109/03/06,公職人員之關係人,"100,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,市議員,桃園市八德區社會服務推展協會,10028148,呂林小鳳,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109002560,109/04/06,桃園市政府社會局,婦女人身安全宣導,109/03/24,公職人員之關係人,"80,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,議員,桃園市八德區青春活力藝術協會,10028169,呂林小鳳,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109003670,109/06/02,桃園市政府社會局,家庭暴力及性侵害等防治宣導,109/05/29,公職人員之關係人,"80,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,市議員,桃園市太鼓協會,82278067,呂林小鳳,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109004131,109/06/20,桃園市八德區公所,仲夏音樂饗宴,109/06/04,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府各區公所補助小型藝文活動計畫,朱珍瑤,桃園市議會,議員,桃園市珍珠粉社區照護暨婦幼關懷協會,85301007,朱珍瑤,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109004141,109/06/20,桃園市八德區公所,珍珠寶媽彩妝彩繪親子樂,109/06/16,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府各區公所補助小型藝文活動計畫,朱珍瑤,桃園市議會,議員,桃園市珍珠粉社區照護暨婦幼關懷協會,85301007,朱珍瑤,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109004212,109/06/23,桃園市政府社會局,婦女福利人身安全暨防詐騙宣導活動,109/06/22,公職人員之關係人,"90,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,市議員,桃園市台灣人民俗文化協會,10028153,呂林小鳳,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109005014,109/07/28,桃園市政府社會局,尊重生命反酒駕暨婦女福利人身安全宣導,109/07/24,公職人員之關係人,"80,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,市議員,桃園市八德區舞蹈協會,83319880,呂林小鳳,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109005023,109/07/28,桃園市政府社會局,老人福利宣導活動,109/07/24,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,桃園市政府推展社會福利服務補助要點第34點規定,呂林小鳳,桃園市議會,市議員,桃園市高明舞蹈協會,50637456,呂林小鳳,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
