id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109004521,109/07/08,臺北市政府體育局,2020亞洲盃運動舞蹈臺北國際公開賽暨2020台灣之星全國代表選拔賽,109/06/22,公職人員之關係人,"185,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,戴錫欽,臺北市議會,議員,台北市體育運動舞蹈協會,94992334,戴錫欽,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109006650,109/10/08,臺北市政府體育局,109年臺北市中正盃藤球錦標賽,109/09/22,公職人員之關係人,"64,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,戴錫欽,臺北市議會,議員,,,,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109006680,109/10/08,臺北市政府體育局,109年臺北市中正盃軟式少棒錦標賽,109/09/22,公職人員之關係人,"127,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,洪健益,臺北市議會,議員,臺北市體育總會軟式棒球協會,25683585,洪健益,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110000261,110/01/11,臺北市政府體育局,110年臺北市青年盃藤球錦標賽,109/12/28,公職人員之關係人,"73,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,戴錫欽,臺北市議會,議員,臺北市體育總會藤球協會,25650661,戴錫欽,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003351,110/04/26,臺北市政府體育局,110年臺北市青年盃U10軟式棒球錦標賽,110/03/25,公職人員之關係人,"127,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,洪健益,臺北市議會,議員,臺北市體育總會軟式棒球協會,25683585,洪健益,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005261,110/08/24,臺北市政府體育局,110年臺北市中正盃軟式少棒錦標賽,110/08/16,公職人員之關係人,"127,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,洪健益,臺北市議會,議員,臺北市體育總會軟式棒球協會,25683585,洪健益,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005990,110/10/08,臺北市政府體育局,110年臺北市中正盃藤球錦標賽,110/10/08,公職人員之關係人,"70,950",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,戴錫欽,臺北市議會,議員,臺北市體育總會藤球協會,25650661,戴錫欽,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03111003850,111/04/28,臺北市政府體育局,111年臺北市青年盃軟式少棒錦標賽,111/03/29,公職人員之關係人,"150,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,洪健益,臺北市政府體育局,議員,臺北市體育總會軟式棒球協會,25683585,洪健益,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03111004960,111/07/05,臺北市政府體育局,111年臺北市中正盃軟式少棒錦標賽,111/06/27,公職人員之關係人,"136,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,洪健益,臺北市議會,議員,臺北市體育總會軟式棒球協會,25683585,洪健益,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03111005071,111/07/05,臺北市政府體育局,111年臺北市長青盃軟式棒球錦標賽,111/06/27,公職人員之關係人,"60,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,洪健益,臺北市議會,議員,臺北市體育總會軟式棒球協會,25683585,洪健益,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
