id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109006621,109/10/08,臺北市政府體育局,109年內湖區足球嘉年華會,109/09/22,公職人員之關係人,"34,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109006630,109/10/08,臺北市政府體育局,109年現代民族舞蹈藝遊趣觀摩會,109/09/22,公職人員之關係人,"30,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109006660,109/10/08,臺北市政府體育局,109年度臺北市中正盃法式滾球錦標賽,109/09/22,公職人員之關係人,"61,250",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,闕枚莎,臺北市議會,議員,臺北市體育總會滾球協會,25652540,闕枚莎,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110000390,110/01/13,臺北市政府體育局,110年區長盃慢速壘球錦標賽,109/12/28,公職人員之關係人,"58,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110000402,110/01/13,臺北市政府體育局,110年少棒冬季訓練營,109/12/28,公職人員之關係人,"18,500",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110000411,110/01/13,臺北市政府體育局,110年春季保齡球錦標賽,109/12/28,公職人員之關係人,"37,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,「臺北市補助民間體育團體辦理體育活動辦法」第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003261,110/04/26,臺北市政府體育局,第一屆內湖盃木球錦標賽,110/03/25,公職人員之關係人,"34,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003271,110/04/26,臺北市政府體育局,110年春季理事長盃足球邀請賽,110/03/25,公職人員之關係人,"46,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003280,110/04/26,臺北市政府體育局,2021年第九屆應用射箭-弓箭足球錦賽,110/03/25,公職人員之關係人,"31,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003290,110/04/26,臺北市政府體育局,110年理事長盃暨22週年槌球錦標賽,110/03/25,公職人員之關係人,"34,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003302,110/04/26,臺北市政府體育局,2021第四屆內湖區主委盃羽球團體聯誼賽,110/03/25,公職人員之關係人,"22,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003312,110/04/26,臺北市政府體育局,110年內湖盃中小學空手道錦標賽,110/03/25,公職人員之關係人,"37,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110003341,110/04/26,臺北市政府體育局,2021第19屆星光盃全國運動舞蹈錦標賽,110/03/25,公職人員之關係人,"51,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,李明賢,臺北市議會,議員,臺北市體育運動舞蹈協會,94992334,李明賢,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005203,110/08/24,臺北市政府體育局,2021亞洲盃運動舞蹈臺北國際公開賽暨2021台灣之星全國代表選拔賽,110/08/16,公職人員之關係人,"185,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,李明賢,臺北市議會,議員,臺北市體育運動舞蹈協會,94992334,李明賢,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005341,110/08/24,臺北市政府體育局,2021年第十屆聚英盃射箭錦標賽,110/08/16,公職人員之關係人,"37,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005351,110/08/24,臺北市政府體育局,110年主委盃慢速壘球錦標賽,110/08/16,公職人員之關係人,"5,800",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03110005361,110/08/24,臺北市政府體育局,110年少棒夏季訓練營,110/08/16,公職人員之關係人,"23,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,臺北市補助民間體育團體辦理體育活動辦法第6條,吳世正,臺北市議會,議員,臺北市內湖區體育會,48803979,吳世正,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
