id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03110003231,110/04/26,新竹縣竹東鎮公所,新竹縣竹東鎮體育會110年竹東鎮鎮長盃暨主委盃大都會排舞觀摩賽,110/04/26,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助款補助要點第三點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110005660,110/09/11,新竹縣竹東鎮公所,竹東鎮110年度鎮長盃暨主委盃桌球錦標賽,110/09/08,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助款補助要點第三點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110006222,110/10/20,新竹縣竹東鎮公所,新竹縣竹東鎮體育會健走運動委員會辦理鎮長暨主委盃健走分齡賽,110/10/20,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110006770,110/11/08,新竹縣竹東鎮公所,竹東鎮長暨主委盃籃球錦標賽,110/11/05,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110006780,110/11/08,新竹縣竹東鎮公所,鎮長盃網球錦標賽,110/11/08,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110007032,110/11/17,新竹縣竹東鎮公所,鎮長盃暨主委盃軟式網球錦標賽,110/11/17,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110007091,110/11/22,新竹縣竹東鎮公所,理事長盃槌球錦標賽,110/11/18,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110007212,110/11/24,新竹縣竹東鎮公所,110年度理事長盃桌球邀請賽,110/11/23,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110007341,110/11/29,新竹縣竹東鎮公所,鎮長盃暨主委盃長青軟式棒球錦標賽,110/11/29,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111001470,111/01/27,新竹縣竹東鎮公所,"大都會排舞委員會辦理理事長盃 排舞錦標賽",111/01/27,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111002241,111/03/09,新竹縣竹東鎮公所,竹東鎮體育會理事長盃軟式網球錦標賽,111/03/07,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111002251,111/03/09,新竹縣竹東鎮公所,鎮長盃暨主委盃少棒錦標賽,111/03/07,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111002641,111/03/22,新竹縣竹東鎮公所,鎮長盃網球錦標賽,111/03/15,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111003551,111/04/19,新竹縣竹東鎮公所,鎮長盃槌球錦標賽,111/04/19,公職人員之關係人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮公所,代表會主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111004490,111/06/16,新竹縣竹東鎮公所,111年竹東鎮鎮長盃暨主委盃大都會排舞觀摩賽,111/06/16,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助案要點第3點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111006531,111/09/08,新竹縣竹東鎮公所,竹東鎮體育會軟網委員會辦理鎮長盃暨主委盃軟式網球錦標賽,111/07/29,公職人員之關係人,"33,200",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助款補助要點第三點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03111006560,111/09/08,新竹縣竹東鎮公所,新竹縣竹東鎮鎮長盃暨主委盃桌球錦標賽,111/09/08,公職人員之關係人,"43,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣竹東鎮推行社運工作補助款補助要點第三點,陳昌平,新竹縣竹東鎮民代表會,主席,新竹縣竹東鎮體育會,02808901,陳昌平,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
