id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109002570,109/04/06,雲林縣麥寮鄉公所,雷厝社區食在幸福社區共餐,109/04/06,公職人員之關係人,"128,400",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉民代表會,代表,雷厝社區發展協會,72460397,林春木,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03109002601,109/04/06,雲林縣麥寮鄉公所,食在幸福社區共餐,109/04/06,公職人員之關係人,"124,400",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉公所,代表,雷厝社區發展協會,72460397,林春木,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03109002621,109/04/06,雲林縣麥寮鄉公所,行動式擴音設施設備增購,109/04/06,公職人員之關係人,"33,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉公所,代表,雷厝社區發展協會,72460397,林春木,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03109004231,109/06/23,雲林縣麥寮鄉公所,雷厝社區食在幸福社區共餐,109/06/15,公職人員本人,"117,200",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉民代表會,代表,,,,
AA03109008701,109/12/11,雲林縣麥寮鄉公所,雷厝社區食在幸福社區共餐,109/11/30,公職人員本人,"110,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉公所,代表,,,,
AA03109008730,109/12/11,雲林縣麥寮鄉公所,雷厝社區食在幸福社區共餐,109/10/30,公職人員本人,"117,200",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉公所,代表,,,,
AA03109008740,109/12/11,雲林縣麥寮鄉公所,重陽關懷活動暨消防隊政令宣導,109/10/30,公職人員本人,"50,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉公所,代表,,,,
AA03109008750,109/12/11,雲林縣麥寮鄉公所,社區營造三期及村落文化發展計畫,109/11/30,公職人員本人,"40,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,雷忠儀,雲林縣麥寮鄉公所,代表,,,,
