"選舉區",登記日期,姓名,推薦之政黨,備註
"新北市烏來區",111/08/30,周至剛,無,
"新北市烏來區",111/08/31,周守信,無,
"新北市烏來區",111/08/31,林東暭,無,
"新北市烏來區",111/09/01,王子瑋,無,
"新北市烏來區",111/09/02,蔡馬新,無,
"桃園市復興區",111/08/29,曾志湘,無,
"桃園市復興區",111/08/30,蘇佐璽,民主進步黨,
"桃園市復興區",111/09/01,楊春樹,無,
"桃園市復興區",111/09/01,林秋霖,台灣民眾黨,
"桃園市復興區",111/09/02,游正英,中國國民黨,
"臺中市和平區",111/08/29,吳萬福,無,
"高雄市茂林區",111/09/01,何忠勇,民主進步黨,
"高雄市茂林區",111/09/01,"趙文耀 Ase‧Takilawdru",中國國民黨,
"高雄市茂林區",111/09/01,駱韋志,無,
"高雄市桃源區",111/08/31,張志誠,無,
"高雄市桃源區",111/09/01,杜司偉,無,
"高雄市桃源區",111/09/01,謝正忠,無,
"高雄市桃源區",111/09/01,賴金龍,無,
"高雄市那瑪夏區",111/08/30,孫榮貴,無,
"高雄市那瑪夏區",111/09/02,孔賢傑,無,
