選舉類型,選舉區,name,推薦之政黨,"date of birth",號次
111年縣市議員選舉,新北市第12選舉區,"蘇錦雄 Paylang・Caya",民主進步黨,1964,6
111年縣市議員選舉,臺北市第7選舉區,"吳郁瑾 Sawmah Kawlo",民主進步黨,未知,1
111年縣市議員選舉,臺北市第8選舉區,"陳慧君 Mulas・Ismahasan",民主進步黨,未知,2
111年縣市長選舉,花蓮縣,"谷辣斯・尤達卡 Kolas Yotaka",民主進步黨,未知,3
111年縣市議員選舉,高雄市第14選舉區,"高忠德 Takiludun .Anu",無,未知,1
111年縣市議員選舉,高雄市第15選舉區,"范織欽 Pasulang・Tomatalate",無,1957,1
111年縣市議員選舉,新北市第12選舉區,"宋雨蓁 Nikar・Falong",無,1981,3
111年縣市議員選舉,新北市第12選舉區,藞妏・尼卡兒,無,未知,4
111年縣市議員選舉,臺南市第12選舉區,"穎艾達利 Ingay Tali",無,1973,2
111年縣市議員選舉,臺南市第13選舉區,"施余興望 Tjakumay Tagaw",無,未知,3
111年縣市議員選舉,宜蘭縣第11選舉區,"孫湯玉惠 aly saku",無,1967,1
111年縣市議員選舉,花蓮縣第5選舉區,笛布斯・顗賚,無,1972,1
111年縣市議員選舉,花蓮縣第6選舉區,"蔡依靜 Lamen・Panay",無,1983,4
111年縣市議員選舉,花蓮縣第6選舉區,"賴國祥 O・SENG・KATI",無,1971,3
111年縣市議員選舉,花蓮縣第7選舉區,"哈尼・噶照 Hani Kacaw",無,1980,5
111年縣市議員選舉,屏東縣第13選舉區,"柯自強 Langalang・Palivulj",無,1969,1
111年縣市議員選舉,屏東縣第14選舉區,"李紀財 Mulaneng Paliuliu",無,1956,2
111年縣市議員選舉,基隆市第8選舉區,拔耐・茹妮老王,無,1971,1
111年縣市議員選舉,臺東縣第11選舉區,"嚴惠美 Simoy・Sapod",無,1965,1
111年縣市議員選舉,南投縣第6選舉區,"石慶龍 Rungquan・Lhkatafatu",無,1955,NA
111年縣市議員選舉,苗栗縣第7選舉區,"楊文昌 Baiho・Watan",無,1960,NA
111年縣市議員選舉,桃園市第14選舉區,歐蜜．偉浪,無,未知,1
111年縣市議員選舉,高雄市第12選舉區,"余葆祈 FotolKila",無,未知,3
111年縣市議員選舉,臺北市第8選舉區,"高為人 Sayun Watan",無,未知,3
111年縣市議員選舉,苗栗縣第8選舉區,"黃月娥 Yuma Baysu",無,未知,2
111年縣市議員選舉,花蓮縣第6選舉區,"何進雄 Kin Cian・Ri Pun",中國國民黨,未知,1
111年縣市議員選舉,桃園市第13選舉區,"陳姿伶 Amuy ．Muwakay",中國國民黨,未知,6
111年縣市議員選舉,新北市第12選舉區,"吳國譽 La Ace Aming",中國國民黨,未知,2
111年縣市議員選舉,花蓮縣第10選舉區,"高小成 Qaisul・Tamapima",中國國民黨,1963,1
111年縣市議員選舉,花蓮縣第5選舉區,督固・撒耘,中國國民黨,未知,3
111年縣市議員選舉,花蓮縣第9選舉區,"吳香蘭 Hisa・Sakay",中國國民黨,1949,1
111年縣市議員選舉,苗栗縣第8選舉區,"劉美蘭 Iwan・Sigiy",中國國民黨,1962,1
111年縣市議員選舉,新竹縣第11選舉區,"林秉君 Kaying・Kuying・Kalang",中國國民黨,1984,2
111年縣市議員選舉,臺東縣第10選舉區,"楊清順 Cinsun Pawtawan",中國國民黨,1969,1
111年縣市議員選舉,臺東縣第14選舉區,"章正輝 Lemaljiz・Kusaza",中國國民黨,1963,1
111年縣市議員選舉,南投縣第7選舉區,"全文才 Balan・Soqluman",中國國民黨,1963,NA
111年縣市議員選舉,南投縣第8選舉區,"林婷立 Ali・Walis",中國國民黨,1979,NA
111年縣市議員選舉,新北市第12選舉區,"達佶祐・卡造 Takiyo・Kacaw",台灣民眾黨,1969,1
111年縣市議員選舉,新北市第13選舉區,"馬見 Lahuy・Ipin",無黨團結聯盟,1992,2
111年縣市議員選舉,高雄市第10選舉區,蔡媽福,NA,1949,17
111年縣市長選舉,雲林縣,林佳瑜,NA,1959,3
