type,area,candidate,party,election_id,election
直轄市長,臺北市,張家豪,台灣動物保護黨,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,陳時中,民主進步黨,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,黃珊珊,無,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,蘇煥智,台灣維新,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,童文薰,無,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,鄭匡宇,無,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,蔣萬安,中國國民黨,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,施奉先,無,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,黃聖峰,台澎黨,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,唐新民,無,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,王文娟,無,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,臺北市,謝立康,無,62053cb1-80ac-4577-94a4-1619acb5b862,臺北市
直轄市長,新北市,林佳龍,民主進步黨,62053f19-68a8-4913-9c6a-1619acb5b862,新北市
直轄市長,新北市,侯友宜,中國國民黨,62053f19-68a8-4913-9c6a-1619acb5b862,新北市
直轄市長,桃園市,鄭運鵬,民主進步黨,620536da-e344-4ab2-9e17-1619acb5b862,桃園市
直轄市長,桃園市,賴香伶,台灣民眾黨,620536da-e344-4ab2-9e17-1619acb5b862,桃園市
直轄市長,桃園市,張善政,中國國民黨,620536da-e344-4ab2-9e17-1619acb5b862,桃園市
直轄市長,桃園市,鄭寶清,無,620536da-e344-4ab2-9e17-1619acb5b862,桃園市
直轄市長,臺中市,蔡其昌,民主進步黨,620540ad-b6bc-4ed2-a509-1619acb5b862,臺中市
直轄市長,臺中市,盧秀燕,中國國民黨,620540ad-b6bc-4ed2-a509-1619acb5b862,臺中市
直轄市長,臺中市,陳美妃,無,620540ad-b6bc-4ed2-a509-1619acb5b862,臺中市
直轄市長,臺南市,許忠信,無,620541a9-b8f4-4696-8de5-1619acb5b862,臺南市
直轄市長,臺南市,黃偉哲,民主進步黨,620541a9-b8f4-4696-8de5-1619acb5b862,臺南市
直轄市長,臺南市,謝龍介,中國國民黨,620541a9-b8f4-4696-8de5-1619acb5b862,臺南市
直轄市長,臺南市,吳炳輝,無,620541a9-b8f4-4696-8de5-1619acb5b862,臺南市
直轄市長,臺南市,林義豐,無,620541a9-b8f4-4696-8de5-1619acb5b862,臺南市
直轄市長,高雄市,鄭宇翔,無,62053dab-a1ec-4dba-9277-1619acb5b862,高雄市
直轄市長,高雄市,陳其邁,民主進步黨,62053dab-a1ec-4dba-9277-1619acb5b862,高雄市
直轄市長,高雄市,柯志恩,中國國民黨,62053dab-a1ec-4dba-9277-1619acb5b862,高雄市
直轄市長,高雄市,曾尹儷,無,62053dab-a1ec-4dba-9277-1619acb5b862,高雄市
直轄市議員,臺北市第1選舉區,林志穎,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,林延鳳,民主進步黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,蘇府庭,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,陳重文,中國國民黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,陳慈慧,民主進步黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,劉仕傑,時代力量,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,張渝江,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,張斯綱,中國國民黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,陳賢蔚,民主進步黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,陳思宇,台灣民眾黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,汪志冰,中國國民黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,鍾佩玲,民主進步黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,林杏兒,中國國民黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,王郁揚,金色力量黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,林世宗,民主進步黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,項豪,中國國家社會主義勞工黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,侯漢廷,新黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,黃瀞瑩,台灣民眾黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,林瑞圖,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,楊靜宇,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,鄭穎隆,共和黨,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,李光輝,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,陳政忠,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,黃郁芬,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第1選舉區,郝淑薏,無,62053d71-b5e0-400f-b53f-1619acb5b862,臺北市|第01選區
直轄市議員,臺北市第2選舉區,江志銘,民主進步黨,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
直轄市議員,臺北市第2選舉區,陳志明,時代力量,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
直轄市議員,臺北市第2選舉區,游淑慧,中國國民黨,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
直轄市議員,臺北市第2選舉區,李明賢,中國國民黨,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
直轄市議員,臺北市第2選舉區,何孟樺,民主進步黨,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
直轄市議員,臺北市第2選舉區,王孝維,民主進步黨,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
直轄市議員,臺北市第2選舉區,李建昌,民主進步黨,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
直轄市議員,臺北市第2選舉區,闕枚莎,中國國民黨,62053d4e-8e68-47bd-a479-1619acb5b862,臺北市|第02選區
