election_id,candidate,number
62053cb1-80ac-4577-94a4-1619acb5b862,張家豪,1
62053cb1-80ac-4577-94a4-1619acb5b862,陳時中,12
62053cb1-80ac-4577-94a4-1619acb5b862,黃珊珊,8
62053cb1-80ac-4577-94a4-1619acb5b862,蘇煥智,7
62053cb1-80ac-4577-94a4-1619acb5b862,童文薰,5
62053cb1-80ac-4577-94a4-1619acb5b862,鄭匡宇,3
62053cb1-80ac-4577-94a4-1619acb5b862,蔣萬安,6
62053cb1-80ac-4577-94a4-1619acb5b862,施奉先,9
62053cb1-80ac-4577-94a4-1619acb5b862,黃聖峰,4
62053cb1-80ac-4577-94a4-1619acb5b862,唐新民,10
62053cb1-80ac-4577-94a4-1619acb5b862,王文娟,2
62053cb1-80ac-4577-94a4-1619acb5b862,謝立康,11
62053f19-68a8-4913-9c6a-1619acb5b862,林佳龍,1
62053f19-68a8-4913-9c6a-1619acb5b862,侯友宜,2
620536da-e344-4ab2-9e17-1619acb5b862,鄭運鵬,3
620536da-e344-4ab2-9e17-1619acb5b862,賴香伶,2
620536da-e344-4ab2-9e17-1619acb5b862,張善政,1
620536da-e344-4ab2-9e17-1619acb5b862,鄭寶清,4
620540ad-b6bc-4ed2-a509-1619acb5b862,蔡其昌,2
620540ad-b6bc-4ed2-a509-1619acb5b862,盧秀燕,3
620540ad-b6bc-4ed2-a509-1619acb5b862,陳美妃,1
620541a9-b8f4-4696-8de5-1619acb5b862,許忠信,1
620541a9-b8f4-4696-8de5-1619acb5b862,黃偉哲,5
620541a9-b8f4-4696-8de5-1619acb5b862,謝龍介,3
620541a9-b8f4-4696-8de5-1619acb5b862,吳炳輝,4
620541a9-b8f4-4696-8de5-1619acb5b862,林義豐,2
62053dab-a1ec-4dba-9277-1619acb5b862,鄭宇翔,1
62053dab-a1ec-4dba-9277-1619acb5b862,陳其邁,4
62053dab-a1ec-4dba-9277-1619acb5b862,柯志恩,3
62053dab-a1ec-4dba-9277-1619acb5b862,曾尹儷,2
62053d71-b5e0-400f-b53f-1619acb5b862,林志穎,17
62053d71-b5e0-400f-b53f-1619acb5b862,林延鳳,1
62053d71-b5e0-400f-b53f-1619acb5b862,蘇府庭,21
62053d71-b5e0-400f-b53f-1619acb5b862,陳重文,7
62053d71-b5e0-400f-b53f-1619acb5b862,陳慈慧,9
62053d71-b5e0-400f-b53f-1619acb5b862,劉仕傑,8
62053d71-b5e0-400f-b53f-1619acb5b862,張渝江,16
62053d71-b5e0-400f-b53f-1619acb5b862,張斯綱,20
62053d71-b5e0-400f-b53f-1619acb5b862,陳賢蔚,2
62053d71-b5e0-400f-b53f-1619acb5b862,陳思宇,15
62053d71-b5e0-400f-b53f-1619acb5b862,汪志冰,5
62053d71-b5e0-400f-b53f-1619acb5b862,鍾佩玲,10
62053d71-b5e0-400f-b53f-1619acb5b862,林杏兒,4
62053d71-b5e0-400f-b53f-1619acb5b862,王郁揚,19
62053d71-b5e0-400f-b53f-1619acb5b862,林世宗,6
62053d71-b5e0-400f-b53f-1619acb5b862,項豪,24
62053d71-b5e0-400f-b53f-1619acb5b862,侯漢廷,11
62053d71-b5e0-400f-b53f-1619acb5b862,黃瀞瑩,13
62053d71-b5e0-400f-b53f-1619acb5b862,林瑞圖,14
62053d71-b5e0-400f-b53f-1619acb5b862,楊靜宇,23
62053d71-b5e0-400f-b53f-1619acb5b862,鄭穎隆,18
62053d71-b5e0-400f-b53f-1619acb5b862,李光輝,3
62053d71-b5e0-400f-b53f-1619acb5b862,陳政忠,25
62053d71-b5e0-400f-b53f-1619acb5b862,黃郁芬,22
62053d71-b5e0-400f-b53f-1619acb5b862,郝淑薏,12
62053d4e-8e68-47bd-a479-1619acb5b862,江志銘,3
62053d4e-8e68-47bd-a479-1619acb5b862,陳志明,1
62053d4e-8e68-47bd-a479-1619acb5b862,游淑慧,12
62053d4e-8e68-47bd-a479-1619acb5b862,李明賢,4
62053d4e-8e68-47bd-a479-1619acb5b862,何孟樺,8
62053d4e-8e68-47bd-a479-1619acb5b862,王孝維,6
62053d4e-8e68-47bd-a479-1619acb5b862,李建昌,10
62053d4e-8e68-47bd-a479-1619acb5b862,闕枚莎,11
62053d4e-8e68-47bd-a479-1619acb5b862,李彥秀,13
62053d4e-8e68-47bd-a479-1619acb5b862,陳宥丞,7
62053d4e-8e68-47bd-a479-1619acb5b862,吳世正,5
